Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
40-44,40,Doctoral degree,Other,10-20 years,1-2 years,2,"150,000-199,999",164818
40-44,40,Master's degree,Data Analyst,10-20 years,5-10 years,7,"150,000-199,999",172118
40-44,40,Doctoral degree,Research Scientist,10-20 years,10-20 years,14,"150,000-199,999",188243
40-44,40,Master's degree,Product/Project Manager,1-2 years,Under 1 year,0.9,"150,000-199,999",191530
40-44,40,Doctoral degree,Data Scientist,20+ years,5-10 years,9,"150,000-199,999",196675
40-44,40,Bachelor's degree,Other,5-10 years,3-4 years,3,"150,000-199,999",197229
40-44,41,Master's degree,Product/Project Manager,1-2 years,Under 1 year,0.0,"150,000-199,999",155006
40-44,41,Master's degree,Other,10-20 years,1-2 years,1,"150,000-199,999",159664
40-44,41,Doctoral degree,Data Scientist,10-20 years,10-20 years,10,"150,000-199,999",163904
40-44,41,Master's degree,Product/Project Manager,5-10 years,2-3 years,2,"150,000-199,999",174026
40-44,41,Master's degree,Data Scientist,10-20 years,5-10 years,5,"150,000-199,999",180782
40-44,41,Master's degree,Data Scientist,5-10 years,5-10 years,6,"150,000-199,999",182470
40-44,41,Master's degree,Data Scientist,10-20 years,5-10 years,6,"150,000-199,999",185789
40-44,42,Master's degree,Data Analyst,20+ years,10-20 years,10,"150,000-199,999",151614
40-44,42,Some college/university study without earning a bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"150,000-199,999",152010
40-44,42,Master's degree,Data Engineer,1-2 years,Under 1 year,0.9,"150,000-199,999",156037
40-44,42,Master's degree,Other,3-5 years,I do not use machine learning methods,0,"150,000-199,999",159979
40-44,42,Master's degree,Data Scientist,10-20 years,5-10 years,6,"150,000-199,999",164870
40-44,42,Master's degree,Data Scientist,5-10 years,1-2 years,2,"150,000-199,999",168634
40-44,42,Master's degree,Product/Project Manager,10-20 years,2-3 years,2,"150,000-199,999",171291
40-44,42,Master's degree,Other,20+ years,5-10 years,9,"150,000-199,999",173725
40-44,42,Bachelor's degree,Product/Project Manager,20+ years,Under 1 year,1.0,"150,000-199,999",180619
40-44,42,Doctoral degree,Research Scientist,5-10 years,5-10 years,8,"150,000-199,999",183645
40-44,42,Master's degree,Other,20+ years,Under 1 year,0.7,"150,000-199,999",188669
40-44,42,Professional degree,Business Analyst,10-20 years,Under 1 year,0.3,"150,000-199,999",190399
40-44,42,Doctoral degree,Machine Learning Engineer,20+ years,10-20 years,18,"150,000-199,999",197338
40-44,42,Master's degree,Data Scientist,3-5 years,2-3 years,3,"150,000-199,999",199060
40-44,43,Doctoral degree,Research Scientist,1-2 years,1-2 years,1,"150,000-199,999",169318
40-44,43,Master's degree,Software Engineer,20+ years,2-3 years,3,"150,000-199,999",196079
40-44,44,Doctoral degree,Data Scientist,20+ years,4-5 years,5,"150,000-199,999",158474
40-44,44,Doctoral degree,Data Scientist,10-20 years,5-10 years,5,"150,000-199,999",160377
40-44,44,Master's degree,Statistician,10-20 years,3-4 years,4,"150,000-199,999",160820
40-44,44,Bachelor's degree,Data Engineer,10-20 years,2-3 years,3,"150,000-199,999",176852
40-44,44,Master's degree,Data Scientist,3-5 years,3-4 years,3,"150,000-199,999",188509
40-44,44,Master's degree,Other,5-10 years,1-2 years,2,"150,000-199,999",189967
40-44,44,Master's degree,Product/Project Manager,10-20 years,1-2 years,1,"150,000-199,999",190065
40-44,44,Master's degree,Product/Project Manager,3-5 years,2-3 years,3,"2,000-2,999",2447
40-44,42,Some college/university study without earning a bachelor's degree,Other,20+ years,4-5 years,4,"20,000-24,999",22998
40-44,40,Master's degree,Data Scientist,10-20 years,5-10 years,8,"200,000-249,999",203295
40-44,40,Bachelor's degree,Business Analyst,20+ years,1-2 years,2,"200,000-249,999",236292
40-44,40,Doctoral degree,Data Scientist,10-20 years,20 or more years,21,"200,000-249,999",244618
40-44,40,Master's degree,Data Engineer,20+ years,4-5 years,5,"200,000-249,999",249990
40-44,41,Bachelor's degree,Data Scientist,10-20 years,4-5 years,4,"200,000-249,999",242611
40-44,42,Doctoral degree,Research Scientist,10-20 years,5-10 years,8,"200,000-249,999",217913
40-44,42,Professional degree,Product/Project Manager,5-10 years,5-10 years,7,"200,000-249,999",229089
40-44,42,Master's degree,Data Scientist,10-20 years,4-5 years,4,"200,000-249,999",242711
40-44,43,Master's degree,Data Scientist,20+ years,5-10 years,10,"200,000-249,999",218400
40-44,43,Master's degree,Research Scientist,20+ years,5-10 years,5,"200,000-249,999",225007
40-44,43,Bachelor's degree,Other,20+ years,2-3 years,2,"200,000-249,999",230365
40-44,43,Doctoral degree,Data Scientist,5-10 years,10-20 years,10,"200,000-249,999",231368
40-44,44,Bachelor's degree,Machine Learning Engineer,10-20 years,4-5 years,5,"200,000-249,999",221882
40-44,44,Doctoral degree,Data Scientist,20+ years,5-10 years,6,"200,000-249,999",222669
40-44,40,Some college/university study without earning a bachelor's degree,Other,I have never written code,,,"25,000-29,999",27648
40-44,40,Bachelor's degree,Other,< 1 years,Under 1 year,0.9,"25,000-29,999",28904
40-44,42,Doctoral degree,Other,5-10 years,5-10 years,7,"250,000-299,999",252076
40-44,44,Bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"250,000-299,999",273129
40-44,44,Bachelor's degree,Other,3-5 years,Under 1 year,0.6,"3,000-3,999",3420
40-44,40,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.9,"30,000-39,999",37078
40-44,41,Master's degree,Data Engineer,1-2 years,1-2 years,1,"30,000-39,999",39839
40-44,40,Doctoral degree,Software Engineer,5-10 years,5-10 years,6,"300,000-500,000",324229
40-44,40,Professional degree,Machine Learning Engineer,20+ years,5-10 years,8,"300,000-500,000",483508
40-44,41,I prefer not to answer,Data Engineer,10-20 years,2-3 years,3,"300,000-500,000",388007
40-44,42,Doctoral degree,Other,20+ years,3-4 years,4,"300,000-500,000",449052
40-44,42,Master's degree,Data Scientist,5-10 years,10-20 years,17,"300,000-500,000",481385
40-44,43,Master's degree,Business Analyst,5-10 years,2-3 years,3,"300,000-500,000",443961
40-44,43,Master's degree,Other,< 1 years,5-10 years,10,"300,000-500,000",474607
40-44,43,Master's degree,Machine Learning Engineer,10-20 years,2-3 years,2,"300,000-500,000",491956
40-44,44,Some college/university study without earning a bachelor's degree,Machine Learning Engineer,10-20 years,3-4 years,4,"300,000-500,000",374933
40-44,41,Master's degree,Statistician,1-2 years,1-2 years,2,"40,000-49,999",44074
40-44,42,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.5,"40,000-49,999",44352
40-44,42,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.5,"40,000-49,999",46398
40-44,42,Bachelor's degree,Other,3-5 years,Under 1 year,0.4,"40,000-49,999",46777
40-44,43,Doctoral degree,Other,5-10 years,5-10 years,9,"40,000-49,999",41412
40-44,43,Master's degree,Other,1-2 years,Under 1 year,0.1,"40,000-49,999",42849
40-44,43,Some college/university study without earning a bachelor's degree,Data Scientist,5-10 years,4-5 years,5,"40,000-49,999",47619
40-44,44,Master's degree,Data Analyst,3-5 years,2-3 years,3,"40,000-49,999",43070
40-44,40,Doctoral degree,Research Scientist,10-20 years,3-4 years,4,"50,000-59,999",57262
40-44,42,Doctoral degree,Research Scientist,5-10 years,1-2 years,2,"50,000-59,999",55262
40-44,43,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"50,000-59,999",53180
40-44,44,Master's degree,Business Analyst,1-2 years,Under 1 year,0.2,"50,000-59,999",53404
40-44,40,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.8,"60,000-69,999",62497
40-44,40,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"60,000-69,999",68439
40-44,41,Master's degree,Data Analyst,1-2 years,I do not use machine learning methods,0,"60,000-69,999",61296
40-44,41,Master's degree,Business Analyst,3-5 years,1-2 years,2,"60,000-69,999",69820
40-44,42,Master's degree,Data Analyst,< 1 years,Under 1 year,0.9,"60,000-69,999",60327
40-44,40,Doctoral degree,Data Scientist,20+ years,2-3 years,2,"70,000-79,999",73559
40-44,40,Bachelor's degree,Data Analyst,10-20 years,Under 1 year,0.5,"70,000-79,999",76500
40-44,41,Doctoral degree,Research Scientist,< 1 years,Under 1 year,0.5,"70,000-79,999",72120
40-44,41,Doctoral degree,Statistician,20+ years,2-3 years,2,"70,000-79,999",77610
40-44,42,Bachelor's degree,Other,I have never written code,,,"70,000-79,999",71247
40-44,42,Doctoral degree,Research Scientist,5-10 years,5-10 years,10,"70,000-79,999",72217
40-44,42,Doctoral degree,Research Scientist,3-5 years,I do not use machine learning methods,0,"70,000-79,999",73960
40-44,43,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.8,"70,000-79,999",75172
40-44,43,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"70,000-79,999",75763
40-44,43,Doctoral degree,Data Scientist,10-20 years,1-2 years,1,"70,000-79,999",78235
40-44,40,Doctoral degree,Research Scientist,5-10 years,1-2 years,1,"80,000-89,999",82931
40-44,40,Doctoral degree,Data Analyst,5-10 years,2-3 years,2,"80,000-89,999",84812
40-44,41,Master's degree,Data Scientist,5-10 years,1-2 years,1,"80,000-89,999",80030
40-44,41,Master's degree,Data Scientist,10-20 years,4-5 years,5,"80,000-89,999",80411
40-44,41,Doctoral degree,Research Scientist,10-20 years,Under 1 year,0.6,"80,000-89,999",86892
40-44,43,Master's degree,Data Analyst,5-10 years,2-3 years,2,"80,000-89,999",85874
40-44,43,Master's degree,Business Analyst,10-20 years,1-2 years,2,"80,000-89,999",86260
40-44,43,Bachelor's degree,Data Scientist,3-5 years,4-5 years,4,"80,000-89,999",86406
40-44,44,Bachelor's degree,Software Engineer,10-20 years,1-2 years,1,"80,000-89,999",84544
40-44,41,Bachelor's degree,DBA/Database Engineer,5-10 years,2-3 years,2,"90,000-99,999",93539
40-44,41,Some college/university study without earning a bachelor's degree,Product/Project Manager,3-5 years,Under 1 year,0.3,"90,000-99,999",98583
40-44,40,Doctoral degree,Currently not employed,10-20 years,4-5 years,4,,
40-44,40,Some college/university study without earning a bachelor's degree,Currently not employed,10-20 years,I do not use machine learning methods,0,,
40-44,40,Master's degree,Currently not employed,10-20 years,Under 1 year,1.0,,
40-44,40,Bachelor's degree,Student,I have never written code,,,,
40-44,40,Bachelor's degree,Product/Project Manager,10-20 years,,,,
40-44,40,Bachelor's degree,Student,< 1 years,,,,
40-44,40,Doctoral degree,Data Scientist,,,,,
40-44,40,Master's degree,Machine Learning Engineer,20+ years,,,,
40-44,40,Master's degree,Student,I have never written code,,,,
40-44,40,Some college/university study without earning a bachelor's degree,Data Analyst,I have never written code,,,,
40-44,41,Master's degree,Currently not employed,3-5 years,1-2 years,2,,
40-44,41,Master's degree,Student,3-5 years,2-3 years,3,,
40-44,41,Master's degree,Other,3-5 years,3-4 years,4,,
40-44,41,Bachelor's degree,Product/Project Manager,< 1 years,Under 1 year,0.2,,
40-44,41,Bachelor's degree,Currently not employed,< 1 years,Under 1 year,0.4,,
40-44,41,Master's degree,Student,10-20 years,Under 1 year,0.1,,
40-44,41,Master's degree,Student,< 1 years,Under 1 year,0.9,,
40-44,41,Professional degree,Student,3-5 years,Under 1 year,0.1,,
40-44,41,Bachelor's degree,Data Engineer,,,,,
40-44,41,Master's degree,Other,I have never written code,,,,
40-44,41,Professional degree,Student,I have never written code,,,,
40-44,42,Doctoral degree,Data Scientist,20+ years,10-20 years,10,,
40-44,42,Bachelor's degree,Data Scientist,5-10 years,3-4 years,3,,
40-44,42,Doctoral degree,Research Scientist,20+ years,5-10 years,8,,
40-44,42,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
40-44,42,Doctoral degree,Student,1-2 years,Under 1 year,0.3,,
40-44,42,Bachelor's degree,Other,10-20 years,,,,
40-44,42,Bachelor's degree,Product/Project Manager,I have never written code,,,,
40-44,42,Bachelor's degree,Currently not employed,< 1 years,,,,
40-44,42,Bachelor's degree,Currently not employed,I have never written code,,,,
40-44,42,Bachelor's degree,Currently not employed,< 1 years,,,,
40-44,42,Master's degree,Product/Project Manager,,,,,
40-44,42,Master's degree,Software Engineer,< 1 years,,,,
40-44,42,Master's degree,Student,< 1 years,,,,
40-44,42,Master's degree,Data Analyst,1-2 years,,,,
40-44,42,Some college/university study without earning a bachelor's degree,Other,1-2 years,,,,
40-44,43,Master's degree,Currently not employed,20+ years,1-2 years,2,,
40-44,43,Bachelor's degree,Data Engineer,5-10 years,3-4 years,4,,
40-44,43,Doctoral degree,Statistician,10-20 years,5-10 years,10,,
40-44,43,Doctoral degree,Currently not employed,< 1 years,,,,
40-44,43,Master's degree,Machine Learning Engineer,20+ years,,,,
40-44,44,Master's degree,Currently not employed,20+ years,10-20 years,13,,
40-44,44,Master's degree,Student,5-10 years,3-4 years,4,,
40-44,44,Doctoral degree,Research Scientist,20+ years,I do not use machine learning methods,0,,
40-44,44,Master's degree,Other,20+ years,I do not use machine learning methods,0,,
40-44,44,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
40-44,44,Bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.2,,
40-44,44,Bachelor's degree,Currently not employed,20+ years,Under 1 year,0.1,,
40-44,44,Master's degree,Currently not employed,3-5 years,Under 1 year,0.9,,
40-44,44,Bachelor's degree,Product/Project Manager,1-2 years,,,,
40-44,44,Bachelor's degree,Other,20+ years,,,,
40-44,44,Doctoral degree,Data Scientist,5-10 years,,,,
40-44,44,Master's degree,,,,,,
40-44,44,Master's degree,Data Engineer,20+ years,,,,
40-44,44,Master's degree,Software Engineer,10-20 years,,,,
40-44,44,Some college/university study without earning a bachelor's degree,Machine Learning Engineer,3-5 years,,,,
45-49,45,Doctoral degree,Machine Learning Engineer,10-20 years,5-10 years,5,"> $500,000",849451
45-49,45,Bachelor's degree,Data Scientist,20+ years,3-4 years,3,"> $500,000",869874
45-49,46,Master's degree,Data Scientist,10-20 years,3-4 years,4,"> $500,000",836000
45-49,49,Doctoral degree,Software Engineer,20+ years,5-10 years,10,"> $500,000",500656
45-49,49,Master's degree,Software Engineer,10-20 years,5-10 years,6,"> $500,000",995982
45-49,46,Master's degree,Data Scientist,1-2 years,1-2 years,2,$0-999,681
45-49,47,Doctoral degree,Research Scientist,I have never written code,,,$0-999,594
45-49,47,Doctoral degree,Data Scientist,20+ years,10-20 years,12,$0-999,910
45-49,49,Master's degree,Business Analyst,I have never written code,,,$0-999,190
45-49,49,Doctoral degree,Other,20+ years,1-2 years,1,$0-999,697
45-49,49,Master's degree,Research Scientist,10-20 years,1-2 years,1,$0-999,829
45-49,49,Master's degree,Software Engineer,5-10 years,Under 1 year,0.6,"10,000-14,999",11363
45-49,45,Master's degree,Software Engineer,20+ years,Under 1 year,0.4,"100,000-124,999",104006
45-49,45,Master's degree,Data Scientist,1-2 years,Under 1 year,0.2,"100,000-124,999",112244
45-49,45,Doctoral degree,Research Scientist,10-20 years,10-20 years,19,"100,000-124,999",119926
45-49,45,Bachelor's degree,Data Engineer,20+ years,4-5 years,5,"100,000-124,999",123406
45-49,46,Bachelor's degree,Product/Project Manager,20+ years,2-3 years,2,"100,000-124,999",101353
45-49,46,Master's degree,Business Analyst,20+ years,1-2 years,1,"100,000-124,999",105555
45-49,46,Doctoral degree,Research Scientist,10-20 years,Under 1 year,0.7,"100,000-124,999",108473
45-49,46,Master's degree,Data Analyst,20+ years,Under 1 year,0.5,"100,000-124,999",111194
45-49,46,Master's degree,Data Scientist,20+ years,3-4 years,4,"100,000-124,999",119002
45-49,46,Master's degree,Data Engineer,10-20 years,4-5 years,4,"100,000-124,999",120502
45-49,46,Bachelor's degree,Business Analyst,1-2 years,I do not use machine learning methods,0,"100,000-124,999",121096
45-49,47,Master's degree,Product/Project Manager,20+ years,5-10 years,5,"100,000-124,999",100695
45-49,47,Master's degree,Data Scientist,1-2 years,1-2 years,2,"100,000-124,999",102088
45-49,47,Master's degree,Research Scientist,3-5 years,I do not use machine learning methods,0,"100,000-124,999",110092
45-49,47,Doctoral degree,Research Scientist,5-10 years,1-2 years,2,"100,000-124,999",112908
45-49,47,Master's degree,Data Analyst,20+ years,Under 1 year,0.5,"100,000-124,999",117325
45-49,47,Bachelor's degree,Data Scientist,3-5 years,Under 1 year,0.7,"100,000-124,999",119192
45-49,47,Master's degree,Software Engineer,20+ years,4-5 years,4,"100,000-124,999",122412
45-49,48,Master's degree,Product/Project Manager,10-20 years,1-2 years,1,"100,000-124,999",108019
45-49,48,Master's degree,Data Analyst,20+ years,1-2 years,1,"100,000-124,999",123020
45-49,48,Doctoral degree,Data Scientist,5-10 years,2-3 years,3,"100,000-124,999",124163
45-49,49,Master's degree,Data Scientist,20+ years,10-20 years,19,"100,000-124,999",100338
45-49,49,Some college/university study without earning a bachelor's degree,Data Analyst,5-10 years,1-2 years,2,"100,000-124,999",103083
